k,fort_isoles,fort_complet,fort_anneau,med_isoles,med_complet,med_anneau,faible_isoles,faible_complet,faible_anneau,fort_gain_isoles,fort_gain_complet,fort_gain_anneau,med_gain_isoles,med_gain_complet,med_gain_anneau,faible_gain_isoles,faible_gain_complet,faible_gain_anneau
68,0.0189404975,0.0039840296,0.0040047820,0.0158667260,0.0019531900,0.0020670058,0.0155281690,0.0016454728,0.0017605634,6.680408,1.405187,1.412507,24.558416,3.023135,3.199298,51.760563,5.484909,5.868545
69,0.0191486189,0.0039786856,0.0039977438,0.0160634158,0.0019512997,0.0020633731,0.0157249561,0.0016441198,0.0017574692,6.753813,1.403302,1.410024,24.862851,3.020209,3.193675,52.416520,5.480399,5.858231
70,0.0193560100,0.0039733166,0.0039907302,0.0162594155,0.0019493753,0.0020597531,0.0159210526,0.0016427273,0.0017543860,6.826961,1.401409,1.407550,25.166218,3.017231,3.188073,53.070175,5.475758,5.847953
71,0.0195626748,0.0039679245,0.0039837412,0.0164547287,0.0019474186,0.0020561458,0.0161164623,0.0016413044,0.0017513135,6.899853,1.399507,1.405085,25.468523,3.014202,3.182489,53.721541,5.471015,5.837712
72,0.0197686169,0.0039625109,0.0039767766,0.0166493589,0.0019454276,0.0020525512,0.0163111888,0.0016398491,0.0017482517,6.972490,1.397597,1.402629,25.769770,3.011120,3.176925,54.370629,5.466164,5.827506
73,0.0199738402,0.0039570776,0.0039698363,0.0168433098,0.0019434113,0.0020489691,0.0165052356,0.0016383630,0.0017452007,7.044873,1.395681,1.400181,26.069966,3.007999,3.171381,55.017452,5.461210,5.817336
74,0.0201783485,0.0039516260,0.0039629202,0.0170365850,0.0019413674,0.0020453994,0.0166986063,0.0016368476,0.0017421603,7.117004,1.393758,1.397742,26.369116,3.004836,3.165856,55.662021,5.456159,5.807201
75,0.0203821454,0.0039461577,0.0039560282,0.0172291878,0.0019392975,0.0020418422,0.0168913043,0.0016353044,0.0017391304,7.188884,1.391829,1.395311,26.667226,3.001632,3.160350,56.304348,5.451015,5.797101
76,0.0205852347,0.0039406741,0.0039491601,0.0174211220,0.0019372027,0.0020382973,0.0170833333,0.0016337346,0.0017361111,7.260515,1.389895,1.392888,26.964300,2.998390,3.154863,56.944444,5.445782,5.787037
77,0.0207876200,0.0039351764,0.0039423158,0.0176123908,0.0019350845,0.0020347648,0.0172746967,0.0016321396,0.0017331023,7.331897,1.387956,1.390474,27.260345,2.995111,3.149396,57.582322,5.440465,5.777008
