fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations,temps_sec
data/Harvard500.txt,500,2636,0.500000,9,forte,7,1,0.056366027506781,anneau,0.055882419099676,-0.000483608407105,0.991420,23,0.0000
data/Harvard500.txt,500,2636,0.500000,9,moyenne,162,251,0.001250000000000,isoles,0.005648330058939,0.004398330058939,4.518664,22,0.0010
data/Harvard500.txt,500,2636,0.500000,9,moyenne,162,251,0.001250000000000,complet,0.002111984284662,0.000861984284662,1.689587,23,0.0000
data/Harvard500.txt,500,2636,0.500000,9,moyenne,162,251,0.001250000000000,anneau,0.002209376316876,0.000959376316876,1.767501,24,0.0010
data/Harvard500.txt,500,2636,0.500000,9,faible,494,500,0.001000000000000,isoles,0.005402750491159,0.004402750491159,5.402750,22,0.0000
data/Harvard500.txt,500,2636,0.500000,9,faible,494,500,0.001000000000000,complet,0.001866404716883,0.000866404716883,1.866405,23,0.0000
data/Harvard500.txt,500,2636,0.500000,9,faible,494,500,0.001000000000000,anneau,0.001963676778647,0.000963676778647,1.963677,24,0.0050
data/Harvard500.txt,500,2636,0.500000,11,forte,7,1,0.056366027506781,isoles,0.061225905189127,0.004859877682346,1.086220,22,0.0000
data/Harvard500.txt,500,2636,0.500000,11,forte,7,1,0.056366027506781,complet,0.056164874857862,-0.000201152648919,0.996431,23,0.0010
data/Harvard500.txt,500,2636,0.500000,11,forte,7,1,0.056366027506781,anneau,0.055661508087801,-0.000704519418980,0.987501,23,0.0000
data/Harvard500.txt,500,2636,0.500000,11,moyenne,162,251,0.001250000000000,isoles,0.006604696673190,0.005354696673190,5.283757,23,0.0010
data/Harvard500.txt,500,2636,0.500000,11,moyenne,162,251,0.001250000000000,complet,0.002120026093714,0.000870026093714,1.696021,24,0.0000
data/Harvard500.txt,500,2636,0.500000,11,moyenne,162,251,0.001250000000000,anneau,0.002201356493126,0.000951356493126,1.761085,24,0.0020
data/Harvard500.txt,500,2636,0.500000,11,faible,494,500,0.001000000000000,isoles,0.006360078277886,0.005360078277886,6.360078,22,0.0000
data/Harvard500.txt,500,2636,0.500000,11,faible,494,500,0.001000000000000,complet,0.001875407699714,0.000875407699714,1.875408,23,0.0010
data/Harvard500.txt,500,2636,0.500000,11,faible,494,500,0.001000000000000,anneau,0.001956708233534,0.000956708233534,1.956708,24,0.0000
data/Harvard500.txt,500,2636,0.500000,13,forte,7,1,0.056366027506781,isoles,0.062087127532850,0.005721100026069,1.101499,22,0.0010
data/Harvard500.txt,500,2636,0.500000,13,forte,7,1,0.056366027506781,complet,0.055959002767210,-0.000407024739571,0.992779,23,0.0010
data/Harvard500.txt,500,2636,0.500000,13,forte,7,1,0.056366027506781,anneau,0.055443958074823,-0.000922069431958,0.983641,24,0.0010
data/Harvard500.txt,500,2636,0.500000,13,moyenne,162,251,0.001250000000000,isoles,0.007553606237817,0.006303606237817,6.042885,23,0.0000
data/Harvard500.txt,500,2636,0.500000,13,moyenne,162,251,0.001250000000000,complet,0.002123363966786,0.000873363966786,1.698691,24,0.0010
data/Harvard500.txt,500,2636,0.500000,13,moyenne,162,251,0.001250000000000,anneau,0.002192930403741,0.000942930403741,1.754344,24,0.0010
data/Harvard500.txt,500,2636,0.500000,13,faible,494,500,0.001000000000000,isoles,0.007309941520468,0.006309941520468,7.309942,22,0.0000
data/Harvard500.txt,500,2636,0.500000,13,faible,494,500,0.001000000000000,complet,0.001879699250973,0.000879699250973,1.879699,23,0.0000
data/Harvard500.txt,500,2636,0.500000,13,faible,494,500,0.001000000000000,anneau,0.001949258250335,0.000949258250335,1.949258,24,0.0020
data/Harvard500.txt,500,2636,0.500000,15,forte,7,1,0.056366027506781,isoles,0.062941660770991,0.006575633264210,1.116660,22,0.0000
data/Harvard500.txt,500,2636,0.500000,15,forte,7,1,0.056366027506781,complet,0.055751468824674,-0.000614558682107,0.989097,24,0.0010
data/Harvard500.txt,500,2636,0.500000,15,forte,7,1,0.056366027506781,anneau,0.055228505741750,-0.001137521765031,0.979819,24,0.0000
data/Harvard500.txt,500,2636,0.500000,15,moyenne,162,251,0.001250000000000,isoles,0.008495145631068,0.007245145631068,6.796117,23,0.0010
data/Harvard500.txt,500,2636,0.500000,15,moyenne,162,251,0.001250000000000,complet,0.002123786409247,0.000873786409247,1.699029,24,0.0000
data/Harvard500.txt,500,2636,0.500000,15,moyenne,162,251,0.001250000000000,anneau,0.002184453056854,0.000934453056854,1.747562,24,0.0000
data/Harvard500.txt,500,2636,0.500000,15,faible,494,500,0.001000000000000,isoles,0.008252427184466,0.007252427184466,8.252427,22,0.0010
data/Harvard500.txt,500,2636,0.500000,15,faible,494,500,0.001000000000000,complet,0.001881067962645,0.000881067962645,1.881068,24,0.0000
data/Harvard500.txt,500,2636,0.500000,15,faible,494,500,0.001000000000000,anneau,0.001941732758457,0.000941732758457,1.941733,24,0.0000
data/Harvard500.txt,500,2636,0.500000,17,forte,7,1,0.056366027506781,isoles,0.063789582533402,0.007423555026621,1.131703,22,0.0010
data/Harvard500.txt,500,2636,0.500000,17,forte,7,1,0.056366027506781,complet,0.055543375065536,-0.000822652441245,0.985405,24,0.0000
data/Harvard500.txt,500,2636,0.500000,17,forte,7,1,0.056366027506781,anneau,0.055014821948952,-0.001351205557829,0.976028,24,0.0010
data/Harvard500.txt,500,2636,0.500000,17,moyenne,162,251,0.001250000000000,isoles,0.009429400386847,0.008179400386847,7.543520,23,0.0000
data/Harvard500.txt,500,2636,0.500000,17,moyenne,162,251,0.001250000000000,complet,0.002122286698343,0.000872286698343,1.697829,24,0.0010
data/Harvard500.txt,500,2636,0.500000,17,moyenne,162,251,0.001250000000000,anneau,0.002176012245783,0.000926012245783,1.740810,24,0.0000
data/Harvard500.txt,500,2636,0.500000,17,faible,494,500,0.001000000000000,isoles,0.009187620889749,0.008187620889749,9.187621,23,0.0000
data/Harvard500.txt,500,2636,0.500000,17,faible,494,500,0.001000000000000,complet,0.001880507201245,0.000880507201245,1.880507,24,0.0000
data/Harvard500.txt,500,2636,0.500000,17,faible,494,500,0.001000000000000,anneau,0.001934232287527,0.000934232287527,1.934232,24,0.0000
data/Harvard500.txt,500,2636,0.500000,19,forte,7,1,0.056366027506781,isoles,0.064630969249357,0.008264941742575,1.146630,23,0.0000
data/Harvard500.txt,500,2636,0.500000,19,forte,7,1,0.056366027506781,complet,0.055335375106295,-0.001030652400486,0.981715,24,0.0010
data/Harvard500.txt,500,2636,0.500000,19,forte,7,1,0.056366027506781,anneau,0.054802810347880,-0.001563217158901,0.972267,25,0.0000
data/Harvard500.txt,500,2636,0.500000,19,moyenne,162,251,0.001250000000000,isoles,0.010356454720617,0.009106454720617,8.285164,23,0.0010
data/Harvard500.txt,500,2636,0.500000,19,moyenne,162,251,0.001250000000000,complet,0.002119460502619,0.000869460502619,1.695568,24,0.0000
data/Harvard500.txt,500,2636,0.500000,19,moyenne,162,251,0.001250000000000,anneau,0.002167629253887,0.000917629253887,1.734103,25,0.0010
data/Harvard500.txt,500,2636,0.500000,19,faible,494,500,0.001000000000000,isoles,0.010115606936416,0.009115606936416,10.115607,23,0.0000
data/Harvard500.txt,500,2636,0.500000,19,faible,494,500,0.001000000000000,complet,0.001878612718419,0.000878612718419,1.878613,24,0.0000
data/Harvard500.txt,500,2636,0.500000,19,faible,494,500,0.001000000000000,anneau,0.001926781354842,0.000926781354842,1.926781,25,0.0000
data/Harvard500.txt,500,2636,0.500000,21,forte,7,1,0.056366027506781,isoles,0.065465896186003,0.009099868679222,1.161442,23,0.0000
data/Harvard500.txt,500,2636,0.500000,21,forte,7,1,0.056366027506781,complet,0.055127878105555,-0.001238149401227,0.978034,24,0.0000
data/Harvard500.txt,500,2636,0.500000,21,forte,7,1,0.056366027506781,anneau,0.054592432774287,-0.001773594732494,0.968534,25,0.0000
data/Harvard500.txt,500,2636,0.500000,21,moyenne,162,251,0.001250000000000,isoles,0.011276391554702,0.010026391554702,9.021113,24,0.0000
data/Harvard500.txt,500,2636,0.500000,21,moyenne,162,251,0.001250000000000,complet,0.002115686618339,0.000865686618339,1.692549,24,0.0020
data/Harvard500.txt,500,2636,0.500000,21,moyenne,162,251,0.001250000000000,anneau,0.002159308820906,0.000909308820906,1.727447,25,0.0000
data/Harvard500.txt,500,2636,0.500000,21,faible,494,500,0.001000000000000,isoles,0.011036468330134,0.010036468330134,11.036468,23,0.0010
data/Harvard500.txt,500,2636,0.500000,21,faible,494,500,0.001000000000000,complet,0.001875763393771,0.000875763393771,1.875763,24,0.0000
data/Harvard500.txt,500,2636,0.500000,21,faible,494,500,0.001000000000000,anneau,0.001919385567736,0.000919385567736,1.919386,25,0.0010
data/Harvard500.txt,500,2636,0.500000,23,forte,7,1,0.056366027506781,isoles,0.066294437448181,0.009928409941400,1.176142,23,0.0010
data/Harvard500.txt,500,2636,0.500000,23,forte,7,1,0.056366027506781,complet,0.054921150739928,-0.001444876766853,0.974366,24,0.0000
data/Harvard500.txt,500,2636,0.500000,23,forte,7,1,0.056366027506781,anneau,0.054383665778753,-0.001982361728028,0.964831,26,0.0000
data/Harvard500.txt,500,2636,0.500000,23,moyenne,162,251,0.001250000000000,isoles,0.012189292543021,0.010939292543021,9.751434,24,0.0000
data/Harvard500.txt,500,2636,0.500000,23,moyenne,162,251,0.001250000000000,complet,0.002111217336700,0.000861217336700,1.688974,25,0.0000
data/Harvard500.txt,500,2636,0.500000,23,moyenne,162,251,0.001250000000000,anneau,0.002151051575379,0.000901051575379,1.720841,25,0.0010
data/Harvard500.txt,500,2636,0.500000,23,faible,494,500,0.001000000000000,isoles,0.011950286806883,0.010950286806883,11.950287,23,0.0000
